school_name,MPCP_count,RPCP_count,WPCP_count,SNSP_count,ALL_STUDENTS_count,school_year,dpi_true_id
Wells Street Academy,5,NA,NA,14,20,2019-20,0000_1627
Westside Christian School,NA,NA,50,NA,130,2019-20,0000_1256
Winnebago Lutheran Academy,NA,NA,50,NA,299,2016-17,0000_8700
Winnebago Lutheran Academy,NA,NA,48,NA,296,2017-18,0000_8700
Winnebago Lutheran Academy,NA,NA,70,3,283,2018-19,0000_8700
Winnebago Lutheran Academy,NA,NA,75,6,279,2019-20,0000_8700
Wisconsin Academy,36,NA,4,NA,76,2016-17,0000_8710
Wisconsin Academy,26,NA,10,NA,66,2017-18,0000_8710
Wisconsin Academy,24,NA,14,NA,73,2018-19,0000_8710
Wisconsin Academy,23,NA,16,NA,87,2019-20,0000_8710
Wisconsin Lutheran High School,403,NA,13,NA,779,2016-17,0000_8720
Wisconsin Lutheran High School,401,NA,28,NA,773,2017-18,0000_8720
Wisconsin Lutheran High School - Milwaukee,391,NA,56,NA,772,2018-19,0000_8720
Wisconsin Lutheran High School - Milwaukee,399,NA,79,NA,829,2019-20,0000_8720
Wisconsin Lutheran School,NA,138,NA,NA,181,2016-17,0000_8722
Wisconsin Lutheran School,NA,143,NA,NA,177,2017-18,0000_8722
Wisconsin Lutheran School - Racine,NA,139,NA,NA,169,2018-19,0000_8722
Wisconsin Lutheran School - Racine,NA,148,NA,NA,181,2019-20,0000_8722
Wolf River Lutheran High School,NA,NA,5,NA,34,2018-19,0000_1391
Wolf River Lutheran High School,NA,NA,6,NA,23,2019-20,0000_1391
Word of Life Evangelical Lutheran School,72,NA,NA,NA,77,2016-17,0000_0320
Word of Life Evangelical Lutheran School,65,NA,NA,NA,73,2017-18,0000_0320
Word of Life Evangelical Lutheran School,71,0,1,NA,80,2018-19,0000_0320
Word of Life Evangelical Lutheran School,70,0,2,NA,75,2019-20,0000_0320
Yeshiva Elementary School,192,NA,NA,NA,212,2016-17,0000_8740
Yeshiva Elementary School,202,NA,NA,NA,215,2017-18,0000_8740
Yeshiva Elementary School,201,NA,NA,NA,214,2018-19,0000_8740
Yeshiva Elementary School,203,NA,NA,6,222,2019-20,0000_8740
Zion Lutheran School,29,NA,5,NA,102,2016-17,0000_8800
Zion Lutheran School - Hartland,NA,NA,4,NA,27,2019-20,0000_8835
Zion Lutheran School - Menomonee Falls,30,NA,6,1,91,2017-18,0000_8800
Zion Lutheran School - Menomonee Falls,30,NA,16,1,107,2018-19,0000_8800
Zion Lutheran School - Menomonee Falls,34,NA,12,1,94,2019-20,0000_8800
Zion Lutheran School - Wayside,NA,NA,7,NA,87,2018-19,0000_8843
Zion Lutheran School - Wayside,NA,NA,9,NA,81,2019-20,0000_8843
